title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Rang De Basanti,2h 37min,Comedy; Drama,Rakeysh Omprakash Mehra,Renzil D'Silva; Prasoon Joshi,Aamir Khan; Soha Ali Khan; Siddharth,8.3,"87,290"
Into the Wild,2h 28min,Adventure; Biography; Drama,Sean Penn,Sean Penn; Jon Krakauer,Emile Hirsch; Vince Vaughn; Catherine Keener,8.1,"484,440"
La passion de Jeanne d'Arc,1h 50min,Biography; Drama; History,Carl Theodor Dreyer,Joseph Delteil; Carl Theodor Dreyer,Maria Falconetti; Eugene Silvain; André Berley,8.2,"31,938"
Life of Brian,1h 34min,Comedy,Terry Jones,Graham Chapman; John Cleese,Graham Chapman; John Cleese; Michael Palin,8.1,"303,280"
Het gebeurde op 'n avond,1h 45min,Comedy; Romance,Frank Capra,Robert Riskin; Samuel Hopkins Adams,Clark Gable; Claudette Colbert; Walter Connolly,8.1,"74,412"
Relatos salvajes,2h 2min,Comedy; Drama; Thriller,Damián Szifron,Germán Servidio; Damián Szifron,Darío Grandinetti; María Marull; Mónica Villa,8.1,"125,693"
Platoon,2h,Drama; War,Oliver Stone,Oliver Stone,Charlie Sheen; Tom Berenger; Willem Dafoe,8.1,"324,565"
In the Name of the Father,2h 13min,Biography; Drama,Jim Sheridan,Gerry Conlon; Terry George,Daniel Day-Lewis; Pete Postlethwaite; Alison Crosbie,8.1,"126,874"
Hotel Rwanda,2h 1min,Biography; Drama; History,Terry George,Keir Pearson; Terry George,Don Cheadle; Sophie Okonedo; Joaquin Phoenix,8.1,"292,245"
Le salaire de la peur,2h 11min,Adventure; Drama; Thriller,Henri-Georges Clouzot,Georges Arnaud; Henri-Georges Clouzot,Yves Montand; Charles Vanel; Peter van Eyck,8.2,"40,929"
Network,2h 1min,Drama,Sidney Lumet,Paddy Chayefsky,Faye Dunaway; William Holden; Peter Finch,8.1,"117,619"
Stand by Me,1h 29min,Adventure; Drama,Rob Reiner,Stephen King; Raynold Gideon,Wil Wheaton; River Phoenix; Corey Feldman,8.1,"306,986"
Rush,2h 3min,Action; Biography; Drama,Ron Howard,Peter Morgan,Daniel Brühl; Chris Hemsworth; Olivia Wilde,8.1,"359,910"
The Grand Budapest Hotel,1h 39min,Adventure; Comedy; Drama,Wes Anderson,Stefan Zweig; Wes Anderson,Ralph Fiennes; F. Murray Abraham; Mathieu Amalric,8.1,"569,702"
Ben Hur,3h 32min,Adventure; Drama; History,William Wyler,Lew Wallace; Karl Tunberg,Charlton Heston; Jack Hawkins; Stephen Boyd,8.1,"182,897"
Persona,1h 25min,Drama; Thriller,Ingmar Bergman,Ingmar Bergman,Bibi Andersson; Liv Ullmann; Margaretha Krook,8.1,"73,581"
Stalker,2h 42min,Drama; Sci-Fi,Andrei Tarkovsky,Arkadiy Strugatskiy; Boris Strugatskiy,Alisa Freyndlikh; Aleksandr Kaydanovskiy; Anatoliy Solonitsyn,8.1,"82,478"
Jurassic Park,2h 7min,Adventure; Sci-Fi; Thriller,Steven Spielberg,Michael Crichton; Michael Crichton,Sam Neill; Laura Dern; Jeff Goldblum,8.1,"704,883"
Logan,2h 17min,Action; Drama; Sci-Fi,James Mangold,James Mangold; Scott Frank,Hugh Jackman; Patrick Stewart; Dafne Keen,8.1,"446,747"
Salinui chueok,2h 11min,Action; Crime; Drama,Joon-ho Bong,Joon-ho Bong; Kwang-rim Kim,Kang-ho Song; Sang-kyung Kim; Roe-ha Kim,8.1,"84,057"
12 Years a Slave,2h 14min,Biography; Drama; History,Steve McQueen,John Ridley; Solomon Northup,Chiwetel Ejiofor; Michael Kenneth Williams; Michael Fassbender,8.1,"520,967"
Les quatre cents coups,1h 39min,Crime; Drama,François Truffaut,François Truffaut; Marcel Moussy,Jean-Pierre Léaud; Albert Rémy; Claire Maurier,8.1,"80,801"
La La Land,2h 8min,Comedy; Drama; Music,Damien Chazelle,Damien Chazelle,Ryan Gosling; Emma Stone; Rosemarie DeWitt,8.1,"347,298"
Million Dollar Baby,2h 12min,Drama; Sport,Clint Eastwood,Paul Haggis; F.X. Toole,Hilary Swank; Clint Eastwood; Morgan Freeman,8.1,"541,843"
Spotlight,2h 8min,Crime; Drama; History,Tom McCarthy,Josh Singer; Tom McCarthy,Mark Ruffalo; Michael Keaton; Rachel McAdams,8.1,"307,173"
Mad Max: Fury Road,2h,Action; Adventure; Sci-Fi,George Miller,George Miller; Brendan McCarthy,Tom Hardy; Charlize Theron; Nicholas Hoult,8.1,"689,479"
The Truman Show,1h 43min,Comedy; Drama; Sci-Fi,Peter Weir,Andrew Niccol,Jim Carrey; Ed Harris; Laura Linney,8.1,"762,020"
A Wednesday,1h 44min,Crime; Drama; Mystery,Neeraj Pandey,Neeraj Pandey; Neeraj Pandey,Anupam Kher; Naseeruddin Shah; Jimmy Shergill,8.3,"57,395"
Amores perros,2h 34min,Drama; Thriller,Alejandro G. Iñárritu,Guillermo Arriaga,Emilio Echevarría; Gael García Bernal; Goya Toledo,8.1,"191,845"
Butch Cassidy and the Sundance Kid,1h 50min,Biography; Crime; Drama,George Roy Hill,William Goldman,Paul Newman; Robert Redford; Katharine Ross,8.1,"170,495"
Before Sunrise,1h 41min,Drama; Romance,Richard Linklater,Richard Linklater; Kim Krizan,Ethan Hawke; Julie Delpy; Andrea Eckert,8.1,"213,594"
Hachi: A Dog's Tale,1h 33min,Drama; Family,Lasse Hallström,Stephen P. Lindsey; Kaneto Shindô,Richard Gere; Joan Allen; Cary-Hiroyuki Tagawa,8.1,"194,796"
Kaze no tani no Naushika,1h 57min,Animation; Adventure; Fantasy,Hayao Miyazaki,Hayao Miyazaki; Hayao Miyazaki,Sumi Shimamoto; Mahito Tsujimura; Hisako Kyôda,8.1,"112,762"
The Princess Bride,1h 38min,Adventure; Family; Fantasy,Rob Reiner,William Goldman; William Goldman,Cary Elwes; Mandy Patinkin; Robin Wright,8.1,"328,821"
Prisoners,2h 33min,Crime; Drama; Mystery,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman; Jake Gyllenhaal; Viola Davis,8.1,"468,353"
The Maltese Falcon,1h 40min,Film-Noir; Mystery,John Huston,John Huston; Dashiell Hammett,Humphrey Bogart; Mary Astor; Gladys George,8.1,"127,109"
Le notti di Cabiria,1h 50min,Drama,Federico Fellini,Federico Fellini; Ennio Flaiano,Giulietta Masina; François Périer; Franca Marzi,8.2,"31,436"
Harry Potter and the Deathly Hallows: Part 2,2h 10min,Adventure; Drama; Fantasy,David Yates,Steve Kloves; J.K. Rowling,Daniel Radcliffe; Emma Watson; Rupert Grint,8.1,"627,121"
Catch Me If You Can,2h 21min,Biography; Crime; Drama,Steven Spielberg,Jeff Nathanson; Frank Abagnale Jr.,Leonardo DiCaprio; Tom Hanks; Christopher Walken,8.1,"635,171"
Rocky,2h,Drama; Sport,John G. Avildsen,Sylvester Stallone,Sylvester Stallone; Talia Shire; Burt Young,8.1,"429,801"
The Grapes of Wrath,2h 9min,Drama; History,John Ford,Nunnally Johnson; John Steinbeck,Henry Fonda; Jane Darwell; John Carradine,8.1,"71,417"
Paper Moon,1h 42min,Comedy; Crime; Drama,Peter Bogdanovich,Joe David Brown; Alvin Sargent,Ryan O'Neal; Tatum O'Neal; Madeline Kahn,8.2,"28,873"
Demonen,1h 57min,Crime; Drama; Horror,Henri-Georges Clouzot,Pierre Boileau; Thomas Narcejac,Simone Signoret; Véra Clouzot; Paul Meurisse,8.1,"48,526"
"Monsters, Inc.",1h 32min,Animation; Adventure; Comedy,Pete Docter; David Silverman,Pete Docter; Jill Culton,Billy Crystal; John Goodman; Mary Gibbs,8.1,"669,846"
Barry Lyndon,3h 5min,Adventure; Drama; History,Stanley Kubrick,Stanley Kubrick; William Makepeace Thackeray,Ryan O'Neal; Marisa Berenson; Patrick Magee,8.1,"116,259"
Donnie Darko,1h 53min,Drama; Sci-Fi; Thriller,Richard Kelly,Richard Kelly,Jake Gyllenhaal; Jena Malone; Mary McDonnell,8.1,"650,397"
Gandhi,3h 11min,Biography; Drama; History,Richard Attenborough,John Briley,Ben Kingsley; John Gielgud; Candice Bergen,8.1,"191,559"
Touch of Evil,1h 35min,Crime; Drama; Film-Noir,Orson Welles,Orson Welles; Whit Masterson,Charlton Heston; Orson Welles; Janet Leigh,8.1,"81,569"
Dunkirk,1h 46min,Action; Drama; History,Christopher Nolan,Christopher Nolan,Fionn Whitehead; Barry Keoghan; Mark Rylance,8.1,"339,936"
The Terminator,1h 47min,Action; Sci-Fi,James Cameron,James Cameron; Gale Anne Hurd,Arnold Schwarzenegger; Linda Hamilton; Michael Biehn,8.0,"672,546"
Groundhog Day,1h 41min,Comedy; Fantasy; Romance,Harold Ramis,Danny Rubin; Harold Ramis,Bill Murray; Andie MacDowell; Chris Elliott,8.0,"497,827"
The Wizard of Oz,1h 42min,Adventure; Family; Fantasy,Victor Fleming; George Cukor,Noel Langley; Florence Ryerson,Judy Garland; Frank Morgan; Ray Bolger,8.1,"324,545"
La haine,1h 38min,Crime; Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel; Hubert Koundé; Saïd Taghmaoui,8.1,"118,779"
Annie Hall,1h 33min,Comedy; Romance,Woody Allen,Woody Allen; Marshall Brickman,Woody Allen; Diane Keaton; Tony Roberts,8.1,"219,739"
The Bourne Ultimatum,1h 55min,Action; Mystery; Thriller,Paul Greengrass,Tony Gilroy; Scott Z. Burns,Matt Damon; Edgar Ramírez; Joan Allen,8.0,"548,107"
8½,2h 18min,Drama,Federico Fellini,Federico Fellini; Ennio Flaiano,Marcello Mastroianni; Anouk Aimée; Claudia Cardinale,8.1,"89,090"
Jaws,2h 4min,Adventure; Drama; Thriller,Steven Spielberg,Peter Benchley; Carl Gottlieb,Roy Scheider; Robert Shaw; Richard Dreyfuss,8.0,"466,997"
Dead Poets Society,2h 8min,Comedy; Drama,Peter Weir,Tom Schulman,Robin Williams; Robert Sean Leonard; Ethan Hawke,8.1,"317,965"
De beste jaren van ons leven,2h 50min,Drama; Romance; War,William Wyler,Robert E. Sherwood; MacKinlay Kantor,Myrna Loy; Dana Andrews; Fredric March,8.1,"45,756"
La leggenda del pianista sull'oceano,2h 45min,Drama; Music; Romance,Giuseppe Tornatore,Alessandro Baricco; Giuseppe Tornatore,Tim Roth; Pruitt Taylor Vince; Bill Nunn,8.1,"46,813"
Faa yeung nin wa,1h 38min,Drama; Romance,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung; Maggie Cheung; Ping Lam Siu,8.1,"90,514"
The Help,2h 26min,Drama,Tate Taylor,Tate Taylor; Kathryn Stockett,Emma Stone; Viola Davis; Octavia Spencer,8.1,"360,028"
Mou gaan dou,1h 41min,Crime; Drama; Mystery,Wai-Keung Lau; Alan Mak,Alan Mak; Felix Chong,Andy Lau; Tony Chiu-Wai Leung; Anthony Chau-Sang Wong,8.1,"102,747"
Twelve Monkeys,2h 9min,Mystery; Sci-Fi; Thriller,Terry Gilliam,Chris Marker; David Webb Peoples,Bruce Willis; Madeleine Stowe; Brad Pitt,8.0,"510,623"
"Paris, Texas",2h 25min,Drama,Wim Wenders,L.M. Kit Carson; Sam Shepard,Harry Dean Stanton; Nastassja Kinski; Dean Stockwell,8.1,"60,931"
Ah-ga-ssi,2h 24min,Crime; Drama; Mystery,Chan-wook Park,Sarah Waters; Seo-kyeong Jeong,Min-hee Kim; Jung-woo Ha; Jin-woong Jo,8.1,"53,824"
Belle en het Beest,1h 24min,Animation; Family; Fantasy,Gary Trousdale; Kirk Wise,Linda Woolverton; Brenda Chapman,Paige O'Hara; Robby Benson; Jesse Corti,8.0,"355,903"
Tenkû no shiro Rapyuta,2h 5min,Animation; Adventure; Family,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin; James Van Der Beek; Cloris Leachman,8.1,"113,222"
Pirates of the Caribbean: The Curse of the Black Pearl,2h 23min,Action; Adventure; Fantasy,Gore Verbinski,Ted Elliott; Terry Rossio,Johnny Depp; Geoffrey Rush; Orlando Bloom,8.0,"902,455"
Dog Day Afternoon,2h 5min,Biography; Crime; Drama,Sidney Lumet,Frank Pierson; P.F. Kluge,Al Pacino; John Cazale; Penelope Allen,8.0,"203,657"
